listing,year,reference,title,document_type,download_id,download_url
Chronological legal notices by year,2026,LN. 168/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124102,https://laws.gov.tt/ttdll-web/revision/download/124102?type=amendment
Chronological legal notices by year,2026,LN. 167/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124100,https://laws.gov.tt/ttdll-web/revision/download/124100?type=amendment
Chronological legal notices by year,2026,LN. 166/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124098,https://laws.gov.tt/ttdll-web/revision/download/124098?type=amendment
Chronological legal notices by year,2026,LN. 165/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124096,https://laws.gov.tt/ttdll-web/revision/download/124096?type=amendment
Chronological legal notices by year,2026,LN. 164/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124094,https://laws.gov.tt/ttdll-web/revision/download/124094?type=amendment
Chronological legal notices by year,2026,LN. 163/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124092,https://laws.gov.tt/ttdll-web/revision/download/124092?type=amendment
Chronological legal notices by year,2026,LN. 162/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124090,https://laws.gov.tt/ttdll-web/revision/download/124090?type=amendment
Chronological legal notices by year,2026,LN. 161/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124088,https://laws.gov.tt/ttdll-web/revision/download/124088?type=amendment
Chronological legal notices by year,2026,LN. 160/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124086,https://laws.gov.tt/ttdll-web/revision/download/124086?type=amendment
Chronological legal notices by year,2026,LN. 159/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124084,https://laws.gov.tt/ttdll-web/revision/download/124084?type=amendment
Chronological legal notices by year,2026,LN. 158/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124082,https://laws.gov.tt/ttdll-web/revision/download/124082?type=amendment
Chronological legal notices by year,2026,LN. 157/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124080,https://laws.gov.tt/ttdll-web/revision/download/124080?type=amendment
Chronological legal notices by year,2026,LN. 156/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124078,https://laws.gov.tt/ttdll-web/revision/download/124078?type=amendment
