law_id,description,chapter_number,detail_url
490,Absconding Debtors,8:08,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=490
474,Accessories and Abettors,10:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=474
960,Accreditation Council of Trinidad and Tobago,39:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=960
486,Administration of Estates,9:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=486
416,Administration of Justice (Deoxyribonucleic Acid),5:34,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=416
822,Adoption of Children,46:03 (The 1946 Act has been repealed and replaced by Act 67 of 2000 - see alert),https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=822
938,Advertisements Regulation,35:53,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=938
816,Age of Majority,46:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=816
688,Agricultural Contracts,63:50,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=688
612,Agricultural Development Bank,79:07,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=612
680,Agricultural Fires,63:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=680
908,Agricultural Small Holdings Tenure,59:53,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=908
682,Agricultural Society,63:01,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=682
854,Airports Authority of Trinidad and Tobago,49:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=854
210,Anatomy,28:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=210
726,Animals (Diseases and Importation),67:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=726
184,Antibiotics,30:02,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=184
91383,Anti-Doping in Sport,40:56,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=91383
596,Anti-Dumping and Countervailing Duties,78:05,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=596
358,Anti-Personnel Mines,16:03,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=358
302,Anti-Terrorism,12:07,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=302
494,Apportionment,8:06,https://laws.gov.tt/ttdll-web/revision/list?offset=0&currentid=494
