procedure_or_policy,availability,source_name,source_url,notes
Police Code of Conduct,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
The rights of persons in custody,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Judges Rules,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Code of Ethics,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Cellular Phone Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
IT Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Vehicle Usage Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Flexi Work Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
HR Policy & Procedure Manual,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Guideline for Conducting Performance Appraisals,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
Disposal of Assets Policy,Listed publicly; full text generally requested via FOIA process,Ministry of National Security Updated Public Statement 2024,https://nationalsecurity.gov.tt/wp-content/uploads/2025/01/Updated-Public-Statements-2024.pdf,Appears in section 8(1)(a)(ii) inventory for Trinidad and Tobago Police Service.
