law_id,law_heading,reference,title,document_type,download_id,download_url
338,Police Complaints Authority Chap. 15:05,No. 11 of 2021,,amendment,111986,https://laws.gov.tt/ttdll-web/revision/download/111986?type=amendment
338,Police Complaints Authority Chap. 15:05,No. 12 of 2011,,amendment,11347,https://laws.gov.tt/ttdll-web/revision/download/11347?type=amendment
338,Police Complaints Authority Chap. 15:05,LN. 267/2000,,amendment,90304,https://laws.gov.tt/ttdll-web/revision/download/90304?type=amendment
338,Police Complaints Authority Chap. 15:05,LN. 153/1995,,amendment,99154,https://laws.gov.tt/ttdll-web/revision/download/99154?type=amendment
272,Police Service Chap. 15:01,No. 4 of 2026,,amendment,123766,https://laws.gov.tt/ttdll-web/revision/download/123766?type=amendment
272,Police Service Chap. 15:01,No. 7 of 2025,,amendment,122532,https://laws.gov.tt/ttdll-web/revision/download/122532?type=amendment
272,Police Service Chap. 15:01,No. 10 of 2024,,amendment,119386,https://laws.gov.tt/ttdll-web/revision/download/119386?type=amendment
272,Police Service Chap. 15:01,No. 23 of 2022,,amendment,116137,https://laws.gov.tt/ttdll-web/revision/download/116137?type=amendment
272,Police Service Chap. 15:01,No. 25 of 2019,,amendment,110590,https://laws.gov.tt/ttdll-web/revision/download/110590?type=amendment
272,Police Service Chap. 15:01,No. 11 of 2014,,amendment,77896,https://laws.gov.tt/ttdll-web/revision/download/77896?type=amendment
272,Police Service Chap. 15:01,No. 2 of 2012,,amendment,13379,https://laws.gov.tt/ttdll-web/revision/download/13379?type=amendment
272,Police Service Chap. 15:01,No. 13 of 2007,,amendment,26707,https://laws.gov.tt/ttdll-web/revision/download/26707?type=amendment
272,Police Service Chap. 15:01,No. 19 of 1910,,amendment,67531,https://laws.gov.tt/ttdll-web/revision/download/67531?type=amendment
272,Police Service Chap. 15:01,LN. 89/2024,,amendment,119214,https://laws.gov.tt/ttdll-web/revision/download/119214?type=amendment
272,Police Service Chap. 15:01,LN. 149/2023,,amendment,116958,https://laws.gov.tt/ttdll-web/revision/download/116958?type=amendment
272,Police Service Chap. 15:01,LN. 6/2022,,amendment,112500,https://laws.gov.tt/ttdll-web/revision/download/112500?type=amendment
272,Police Service Chap. 15:01,LN. 389/2019,,amendment,108742,https://laws.gov.tt/ttdll-web/revision/download/108742?type=amendment
272,Police Service Chap. 15:01,LN. 103/2019,,amendment,108097,https://laws.gov.tt/ttdll-web/revision/download/108097?type=amendment
272,Police Service Chap. 15:01,LN. 54/2015,,amendment,85342,https://laws.gov.tt/ttdll-web/revision/download/85342?type=amendment
272,Police Service Chap. 15:01,LN. 23/2012,,amendment,72826,https://laws.gov.tt/ttdll-web/revision/download/72826?type=amendment
272,Police Service Chap. 15:01,LN. 175/2008,,amendment,26751,https://laws.gov.tt/ttdll-web/revision/download/26751?type=amendment
